,SALES_DATE,predicted,predicted_30,predicted_45,predicted_60,predicted_90,predicted_max,Encoded_SKU_ID
0,2022-08-01,3.0,3.0,3.0,3.0,2.0,3.0,1
1,2022-08-02,1.4500000000000002,1.0,2.45,0.45,3.0,5.0,1
2,2022-08-03,0.55,1.0,1.4500000000000002,2.0,2.0,2.0,1
3,2022-08-04,3.0,1.55,0.0,0.0,1.0,2.45,1
4,2022-08-05,1.0,1.55,2.0,0.0,1.0,2.5500000000000003,1
5,2022-08-06,0.0,1.0,2.45,1.55,0.0,0.0,1
6,2022-08-07,2.0,0.55,1.0,3.0,3.0,1.55,1
0,2022-08-01,1.4500000000000002,2.45,3.0,2.0,4.0,0.45,198
1,2022-08-02,-1.0,0.0,2.0,2.45,2.45,4.0,198
2,2022-08-03,2.0,5.0,3.0,2.0,2.0,2.5500000000000003,198
3,2022-08-04,0.0,1.0,3.0,3.0,2.45,1.0,198
4,2022-08-05,3.0,2.0,2.0,2.0,1.0,1.55,198
5,2022-08-06,0.0,1.0,2.0,1.4500000000000002,3.0,1.0,198
6,2022-08-07,2.45,3.0,2.0,4.0,3.45,3.0,198
0,2022-08-01,0.0,0.0,0.0,2.0,0.0,0.0,312
1,2022-08-02,2.0,2.0,0.0,0.0,0.0,2.0,312
2,2022-08-03,2.0,1.0,0.0,1.4500000000000002,2.5500000000000003,0.55,312
3,2022-08-04,3.0,3.0,0.0,2.0,0.0,1.0,312
4,2022-08-05,2.0,3.0,0.0,0.0,0.0,0.0,312
5,2022-08-06,2.0,3.0,1.0,0.0,0.0,1.0,312
6,2022-08-07,3.0,3.0,2.0,2.0,0.0,0.0,312
0,2022-08-01,,,,,,,307
1,2022-08-02,,,,,,,307
2,2022-08-03,,,,,,,307
3,2022-08-04,,,,,,,307
4,2022-08-05,,,,,,,307
5,2022-08-06,,,,,,,307
6,2022-08-07,,,,,,,307
0,2022-08-01,,7.0,7.0,7.0,6.550000000000001,9.0,172
1,2022-08-02,,4.0,7.0,7.0,9.0,6.0,172
2,2022-08-03,,8.0,4.0,10.0,11.0,9.0,172
3,2022-08-04,,8.0,10.0,8.0,7.550000000000001,7.450000000000001,172
4,2022-08-05,,9.0,8.55,8.55,17.0,12.0,172
5,2022-08-06,,8.0,7.450000000000001,7.0,11.45,9.0,172
6,2022-08-07,,4.0,7.0,6.0,12.0,11.0,172
0,2022-08-01,1.55,0.45,0.45,0.45,2.0,1.0,1
1,2022-08-02,0.45,1.0,2.5500000000000003,2.0,2.45,0.0,1
2,2022-08-03,1.0,2.0,0.0,3.0,2.0,1.0,1
3,2022-08-04,0.0,0.45,1.0,0.45,4.0,4.45,1
4,2022-08-05,2.0,1.4500000000000002,3.0,2.0,0.0,2.0,1
5,2022-08-06,2.0,2.0,0.0,2.0,3.0,1.0,1
6,2022-08-07,1.0,1.0,1.0,1.0,2.0,1.4500000000000002,1
0,2022-08-01,1.0,0.0,0.0,0.45,2.45,1.55,78
1,2022-08-02,2.0,3.0,0.55,4.0,3.0,1.0,78
2,2022-08-03,0.0,0.0,1.0,2.0,0.0,0.45,78
3,2022-08-04,0.0,0.0,0.45,0.0,1.0,0.45,78
4,2022-08-05,2.0,3.0,2.0,1.0,0.45,2.0,78
5,2022-08-06,2.0,1.0,1.0,0.0,0.0,1.0,78
6,2022-08-07,0.0,0.0,3.0,0.45,1.55,0.45,78
0,2022-08-01,1.0,1.0,3.0,2.5500000000000003,1.0,1.0,506
1,2022-08-02,3.0,3.0,0.0,0.0,3.0,1.0,506
2,2022-08-03,-0.55,2.5500000000000003,1.4500000000000002,0.55,1.0,6.0,506
3,2022-08-04,2.0,1.4500000000000002,1.0,1.0,0.0,1.55,506
4,2022-08-05,1.0,2.0,1.0,2.0,0.55,1.0,506
5,2022-08-06,3.0,2.0,2.0,0.0,0.0,1.55,506
6,2022-08-07,-0.55,0.0,2.5500000000000003,3.0,0.0,1.0,506
0,2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,370
1,2022-08-02,1.0,0.0,0.0,0.0,0.0,0.0,370
2,2022-08-03,0.0,0.0,0.0,0.0,1.0,0.0,370
3,2022-08-04,1.0,0.0,0.0,0.0,0.0,0.0,370
4,2022-08-05,0.0,0.0,0.0,0.0,1.0,0.0,370
5,2022-08-06,1.0,0.0,0.0,0.0,0.0,0.0,370
6,2022-08-07,0.0,0.0,0.0,0.0,0.0,0.0,370
0,2022-08-01,2.0,2.0,2.0,2.0,8.0,6.45,424
1,2022-08-02,2.45,2.0,1.55,3.0,6.45,7.550000000000001,424
2,2022-08-03,1.0,2.0,3.0,2.0,9.0,11.45,424
3,2022-08-04,2.0,2.0,2.0,2.45,3.45,7.0,424
4,2022-08-05,1.0,2.0,2.0,2.0,10.0,7.0,424
5,2022-08-06,1.55,2.0,3.0,3.0,3.45,14.0,424
6,2022-08-07,1.0,2.0,2.0,8.0,10.0,6.0,424
0,2022-08-01,,,,,,,447
1,2022-08-02,,,,,,,447
2,2022-08-03,,,,,,,447
3,2022-08-04,,,,,,,447
4,2022-08-05,,,,,,,447
5,2022-08-06,,,,,,,447
6,2022-08-07,,,,,,,447
0,2022-08-01,,,,,,,231
1,2022-08-02,,,,,,,231
2,2022-08-03,,,,,,,231
3,2022-08-04,,,,,,,231
4,2022-08-05,,,,,,,231
5,2022-08-06,,,,,,,231
6,2022-08-07,,,,,,,231
0,2022-08-01,1.0,3.0,3.0,0.0,0.45,0.0,224
1,2022-08-02,3.0,1.55,1.0,1.0,0.0,0.0,224
2,2022-08-03,1.0,1.0,1.0,0.0,0.0,0.0,224
3,2022-08-04,0.0,3.0,2.0,1.0,0.0,2.0,224
4,2022-08-05,0.0,1.0,2.0,2.0,0.0,0.0,224
5,2022-08-06,-0.55,1.0,0.0,0.0,0.0,2.0,224
6,2022-08-07,3.0,3.0,1.0,1.0,0.0,2.0,224
0,2022-08-01,,,,,,,185
1,2022-08-02,,,,,,,185
2,2022-08-03,,,,,,,185
3,2022-08-04,,,,,,,185
4,2022-08-05,,,,,,,185
5,2022-08-06,,,,,,,185
6,2022-08-07,,,,,,,185
0,2022-08-01,2.0,1.0,2.0,0.0,0.0,0.0,224
1,2022-08-02,3.0,2.0,0.0,0.0,1.0,0.0,224
2,2022-08-03,2.0,1.0,0.0,0.0,0.0,0.0,224
3,2022-08-04,0.0,0.0,0.0,0.0,0.0,1.0,224
4,2022-08-05,0.0,1.0,1.0,1.0,0.0,2.0,224
5,2022-08-06,0.0,1.0,3.0,0.0,2.0,0.0,224
6,2022-08-07,1.0,2.0,0.0,0.0,1.0,1.0,224
0,2022-08-01,0.0,0.0,0.0,3.0,1.0,1.0,334
1,2022-08-02,1.0,1.0,0.0,0.0,3.0,2.0,334
2,2022-08-03,1.0,1.0,1.0,1.0,0.45,0.0,334
3,2022-08-04,0.0,0.0,1.0,1.0,2.0,1.0,334
4,2022-08-05,0.0,1.0,0.0,0.0,1.0,1.0,334
5,2022-08-06,0.55,0.0,1.0,1.0,1.0,3.0,334
6,2022-08-07,0.0,1.0,1.0,1.0,2.45,2.0,334
0,2022-08-01,1.0,1.0,0.0,0.0,0.0,0.0,575
1,2022-08-02,0.0,0.0,0.0,0.0,0.0,0.0,575
2,2022-08-03,0.0,0.0,0.0,0.0,0.0,0.0,575
3,2022-08-04,0.0,0.0,0.0,0.0,0.0,1.0,575
4,2022-08-05,0.0,0.0,0.0,0.0,0.0,0.55,575
5,2022-08-06,0.0,0.0,0.0,0.0,0.0,1.0,575
6,2022-08-07,1.0,0.0,0.0,0.0,2.0,1.4500000000000002,575
0,2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,175
1,2022-08-02,1.0,1.0,0.0,0.0,0.0,1.0,175
2,2022-08-03,0.0,0.0,0.0,0.0,0.0,0.0,175
3,2022-08-04,0.0,0.0,1.0,0.0,0.0,0.0,175
4,2022-08-05,1.0,0.0,0.0,0.0,0.0,0.0,175
5,2022-08-06,0.0,0.0,0.0,0.0,0.0,0.0,175
6,2022-08-07,0.0,0.0,0.0,0.0,0.0,0.0,175
0,2022-08-01,1.0,0.0,1.0,1.0,1.0,2.0,434
1,2022-08-02,2.0,2.5500000000000003,0.45,0.0,4.0,1.0,434
2,2022-08-03,2.0,1.0,2.0,1.0,4.0,1.0,434
