,predicted,predicted_30,predicted_45,predicted_60,predicted_90,predicted_max,Encoded_SKU_ID
2022-08-01,0.0,0.0,0.0,0.0,0.55,0.0,17
2022-08-02,1.0,1.0,0.0,1.0,1.0,2.0,17
2022-08-03,0.0,0.0,0.0,0.0,0.0,1.0,17
2022-08-04,1.0,1.0,0.0,2.0,2.0,0.0,17
2022-08-05,0.0,0.0,1.0,3.0,0.45,1.0,17
2022-08-06,1.0,1.0,0.0,2.0,2.0,0.0,17
2022-08-07,0.0,0.0,1.0,0.45,0.0,0.0,17
2022-08-01,2.0,2.0,1.55,1.0,1.0,1.0,33
2022-08-02,0.0,5.0,1.0,1.0,0.0,1.0,33
2022-08-03,1.0,0.0,1.0,1.0,1.0,2.0,33
2022-08-04,0.0,0.0,1.0,1.0,1.0,1.0,33
2022-08-05,1.0,0.0,5.0,0.0,1.0,1.0,33
2022-08-06,1.0,0.55,0.0,0.55,1.55,0.55,33
2022-08-07,1.0,1.0,1.0,1.0,1.0,1.4500000000000002,33
2022-08-01,1.4500000000000002,1.4500000000000002,1.0,0.45,1.0,2.0,38
2022-08-02,0.0,1.0,3.5500000000000003,4.0,1.0,2.0,38
2022-08-03,0.0,0.0,0.45,1.55,1.0,1.0,38
2022-08-04,1.55,2.0,2.5500000000000003,1.0,2.45,1.0,38
2022-08-05,1.4500000000000002,1.4500000000000002,2.0,6.0,2.0,2.45,38
2022-08-06,0.0,0.0,1.4500000000000002,1.0,1.0,3.45,38
2022-08-07,0.0,1.0,6.0,0.55,4.45,1.0,38
2022-08-01,0.45,0.0,2.0,1.0,1.0,1.0,89
2022-08-02,0.0,2.0,0.0,1.0,0.45,0.0,89
2022-08-03,0.45,0.45,1.0,1.0,1.0,0.55,89
2022-08-04,0.0,0.0,1.0,1.4500000000000002,0.45,2.0,89
2022-08-05,0.45,0.0,1.0,1.0,0.45,1.0,89
2022-08-06,0.0,0.55,1.0,0.0,1.0,1.0,89
2022-08-07,0.0,2.0,0.0,0.45,1.0,0.0,89
2022-08-01,0.55,-0.45,7.0,2.0,1.0,3.0,98
2022-08-02,0.0,0.45,0.0,0.0,3.0,0.0,98
2022-08-03,2.0,2.0,0.0,1.0,3.0,1.0,98
2022-08-04,0.45,3.0,1.0,1.0,0.45,1.0,98
2022-08-05,0.0,0.0,1.0,4.0,2.0,1.55,98
2022-08-06,0.0,0.45,1.0,2.5500000000000003,1.0,1.0,98
2022-08-07,2.0,1.0,2.0,1.0,1.0,3.0,98
2022-08-01,0.0,0.0,0.0,0.0,1.0,2.0,100
2022-08-02,1.0,1.0,1.0,1.0,2.0,0.0,100
2022-08-03,0.0,1.55,2.0,0.0,0.0,0.0,100
2022-08-04,0.0,0.0,1.0,1.0,0.0,0.0,100
2022-08-05,0.0,1.0,1.0,0.0,0.0,0.0,100
2022-08-06,0.0,2.0,2.0,1.0,0.0,1.0,100
2022-08-07,0.0,0.0,1.0,2.0,0.0,0.0,100
2022-08-01,3.0,0.0,1.0,0.0,0.0,1.0,106
2022-08-02,3.0,2.0,5.0,4.0,1.0,1.4500000000000002,106
2022-08-03,0.0,0.0,2.0,0.55,3.5500000000000003,3.0,106
2022-08-04,0.0,3.0,1.0,3.0,2.0,1.0,106
2022-08-05,3.0,1.0,1.0,0.55,0.45,1.55,106
2022-08-06,0.0,2.0,2.0,3.0,0.45,1.0,106
2022-08-07,0.0,0.45,0.0,1.0,2.0,2.0,106
2022-08-01,0.45,1.0,1.0,1.0,4.0,0.45,113
2022-08-02,1.0,1.0,1.0,4.0,2.5500000000000003,0.45,113
2022-08-03,1.0,1.0,1.0,1.0,2.0,1.0,113
2022-08-04,2.0,2.0,1.0,1.0,1.0,1.0,113
2022-08-05,1.0,0.45,0.45,1.0,1.4500000000000002,0.55,113
2022-08-06,1.0,-0.55,0.45,1.0,1.0,0.0,113
2022-08-07,1.0,0.0,0.45,4.0,0.0,0.55,113
2022-08-01,2.0,1.0,1.0,1.0,1.0,1.0,118
2022-08-02,-0.55,0.0,1.0,1.0,1.0,1.55,118
2022-08-03,0.0,0.0,0.0,0.55,0.0,0.55,118
2022-08-04,1.0,1.0,4.0,0.0,0.0,0.0,118
2022-08-05,1.0,0.0,0.55,0.0,0.0,0.0,118
2022-08-06,3.0,4.0,0.0,0.0,1.0,2.5500000000000003,118
2022-08-07,-0.55,0.0,1.0,0.0,1.0,1.0,118
2022-08-01,0.0,4.0,2.45,0.0,5.0,5.0,119
