,predicted,predicted_30,predicted_45,predicted_60,predicted_90,predicted_max,Encoded_SKU_ID
2022-08-01,,,,,,,263
2022-08-02,,,,,,,263
2022-08-03,,,,,,,263
2022-08-04,,,,,,,263
2022-08-05,,,,,,,263
2022-08-06,,,,,,,263
2022-08-07,,,,,,,263
2022-08-01,,,,,,,265
2022-08-02,,,,,,,265
2022-08-03,,,,,,,265
2022-08-04,,,,,,,265
2022-08-05,,,,,,,265
2022-08-06,,,,,,,265
2022-08-07,,,,,,,265
2022-08-01,4.0,3.0,3.0,2.5500000000000003,3.0,3.0,267
2022-08-02,3.0,3.0,2.5500000000000003,3.0,2.5500000000000003,5.0,267
2022-08-03,4.0,3.0,1.55,4.0,1.0,3.45,267
2022-08-04,1.0,3.0,3.0,0.55,6.0,5.0,267
2022-08-05,6.0,3.0,1.4500000000000002,7.0,3.0,3.0,267
2022-08-06,7.0,3.0,1.4500000000000002,1.0,1.0,2.45,267
2022-08-07,1.0,2.0,3.0,2.5500000000000003,2.5500000000000003,4.0,267
2022-08-01,2.0,3.5500000000000003,6.0,5.0,5.0,6.0,268
2022-08-02,4.0,2.0,2.5500000000000003,0.55,2.5500000000000003,2.0,268
2022-08-03,5.0,2.0,2.0,1.55,2.5500000000000003,2.0,268
2022-08-04,2.0,2.0,1.55,3.5500000000000003,2.0,1.4500000000000002,268
2022-08-05,2.0,1.55,2.0,1.0,1.4500000000000002,4.0,268
2022-08-06,3.5500000000000003,5.0,4.0,2.0,2.0,4.0,268
2022-08-07,2.0,2.0,0.0,5.0,6.0,3.0,268
2022-08-01,,,,,,,270
2022-08-02,,,,,,,270
2022-08-03,,,,,,,270
2022-08-04,,,,,,,270
2022-08-05,,,,,,,270
2022-08-06,,,,,,,270
2022-08-07,,,,,,,270
2022-08-01,,,,,,,271
2022-08-02,,,,,,,271
2022-08-03,,,,,,,271
2022-08-04,,,,,,,271
2022-08-05,,,,,,,271
2022-08-06,,,,,,,271
2022-08-07,,,,,,,271
2022-08-01,0.45,0.45,0.0,0.0,0.0,0.55,272
2022-08-02,0.0,1.0,1.0,0.0,0.0,1.0,272
2022-08-03,0.0,0.0,1.0,0.0,1.0,3.0,272
2022-08-04,1.0,1.0,1.0,0.0,0.55,0.0,272
